# דוח תאימות רגולטורית - איל בשרים 

## מבוא

דוח זה מסכם את הדרישות הרגולטוריות החלות על העסק שלך, "איל בשרים", בהתבסס על פרופיל העסק שסופק.  העסק הינו מסעדה עם 40 מקומות ישיבה,  משתמשת בגז לבישול,  מספקת משלוחים, מגישה בשר,  משתמשת במטגן, ומגישה אלכוהול. הדוח מפרט את התקנות החלות עליך, מסווג אותן כחובה או מומלץ, ומציע צעדים מעשיים לביצוע.


## תקנות חיוניות

### תקנה 3-3.2 - משטרת ישראל

תקנה זו חלה עליך מכיוון ששטח העסק שלך קטן מ- 100 מ"ר ומספר מקומות הישיבה הוא 40.  התקנה קובעת דרישות ספציפיות למספר מקומות ישיבה.

**חובה**

**סיכון אי-עמידה:** עיכובים ברישוי העסק וקנסות.


### תקנה 3-3.6 - משטרת ישראל

תקנה זו חלה עליך מכיוון שאתה מגיש אלכוהול.  התקנה קובעת דרישות להודעה לציבור על איסור מכירת אלכוהול לקטינים.

**חובה**

**סיכון אי-עמידה:** קנסות ועבירות פליליות.


### תקנה 4-4.3 - משרד הבריאות

תקנה זו חלה עליך מכיוון ששטח העסק שלך 100 מ"ר.  התקנה מתייחסת לדרישות תכנון אדריכליות וסניטריות.

**חובה**

**סיכון אי-עמידה:** סגירת העסק וקנסות.


### תקנה 4-1.7 (סעיפים שונים) - משרד הבריאות

תקנות אלו חלות עליך מכיוון שאתה מגיש בשר.  התקנות מתייחסות לדרישות מקור, הובלה ואחסון בשר.

**חובה**

**סיכון אי-עמידה:** סיכונים בריאותיים ללקוחות וקנסות.


### תקנה 5-6.23 - הרשות הארצית לכבאות והצלה

תקנה זו חלה עליך מכיוון שאתה משתמש בגז.  התקנה קובעת דרישות ספציפיות למערכות גז.

**חובה**

**סיכון אי-עמידה:** סכנת שריפה וקנסות.


## תקנות מומלצות

* **תקנה 4-1.1 - משרד הבריאות:** מומלץ להכין טופס ביקורת לפי הסעיפים הנ"ל.  טופס זה יסייע לך לעקוב אחר נהלי הבטיחות וההיגיינה.

**מומלץ**

* **תקנה 4-2.4 (סעיפים שונים) - משרד הבריאות:** מומלץ לסמן את הכלים המיועדים לעבודה במטבח.  סימון נכון ימנע זיהומים צולבים.

**מומלץ**

* **תקנה 4-3.5 (סעיפים שונים) - משרד הבריאות:** מומלץ לבדוק את הטמפרטורה במקררים באופן קבוע.  שמירה על הטמפרטורה הנכונה תמנע התרבות חיידקים.

**מומלץ**

* **תקנה 5-6.2 (סעיפים שונים) - הרשות הארצית לכבאות והצלה:** מומלץ לעיין בתקנות נוספות של הרשות הארצית לכבאות והצלה.  הבנה מעמיקה של תקנות אלה תסייע לך למנוע סכנות שריפה.

**מומלץ**


## סיכום תקנות

| גוף רגולטורי | סעיף תקנה | עדיפות | חובה/מומלץ | המלצה |
|---|---|---|---|---|
| הגדרות כלליות | 1-1.4 | גבוהה | חובה | ודא שאתה עומד בדרישות המסמכים והתנאים. |
| תנאים רוחביים | 2-2.12 | גבוהה | חובה | ודא שאתה מודע למועדי תחילתן של ההוראות. |
| משטרת ישראל | 3-3.2 | גבוהה | חובה | ודא שאתה עומד בדרישות הרישוי. |
| משטרת ישראל | 3-3.6 | גבוהה | חובה | ודא שאתה מציג שילוט מתאים לגבי מכירת אלכוהול לקטינים. |
| משטרת ישראל | 3-3.3 | בינונית | חובה | ודא שאתה עומד בדרישות המצלמות. |
| משטרת ישראל | 3-3.7 | בינונית | חובה | ודא שאתה עומד בדרישות העברת כספים. |
| משטרת ישראל | 3-3.8 | בינונית | חובה | ודא שאתה עומד בדרישות הרישוי. |
| משטרת ישראל | 3-3.9 | בינונית | חובה | ודא שאתה עומד בדרישות הדיווחים. |
| משרד הבריאות | 4-4.1 | גבוהה | חובה | ודא שאתה עומד בדרישות פקודת בריאות העם. |
| משרד הבריאות | 4-4.2 | בינונית | חובה | ודא שאתה עומד בדרישות המטבח. |
| משרד הבריאות | 4-4.3 | גבוהה | חובה | ודא שאתה עומד בדרישות התכנון הסניטרי. |
| משרד הבריאות | 4-4.6 | בינונית | חובה | ודא שאתה עומד בדרישות מערכות המים. |
| משרד הבריאות | 4-4.10 | גבוהה | חובה | ודא שאתה עומד בדרישות הטיפול בפסולת. |
| משרד הבריאות | 4-1.7 | גבוהה | חובה | ודא שמקור חומרי הגלם שלך עומד בדרישות. |
| משרד הבריאות | 4-1.10 | בינונית | חובה | ודא שאתה בודק את ניקיון ארגז הרכב. |
| משרד הבריאות | 4-1.11 | גבוהה | חובה | ודא שרכב ההובלה עומד בדרישות. |
| משרד הבריאות | 4-1.1 | בינונית | מומלץ | הכן טופס ביקורת. |
| משרד הבריאות | 4-2.2 | בינונית | חובה | שמור על טמפרטורת מזון נכונה. |
| משרד הבריאות | 4-2.3 | בינונית | חובה | ודא שאתה מטפל בציוד כראוי. |
| משרד הבריאות | 4-2.4 | בינונית | מומלץ | סמן את הכלים. |
| משרד הבריאות | 4-2.5 | בינונית | חובה | שמור על מזון כראוי. |
| משרד הבריאות | 4-2.6 | בינונית | חובה | הקפד על היגיינה. |
| משרד הבריאות | 4-2.7 | בינונית | חובה | ודא שאתה עומד בדרישות אזורי המטבח. |
| משרד הבריאות | 4-3.1 | בינונית | חובה | ודא שאתה עומד בדרישות אחסון מזון. |
| משרד הבריאות | 4-3.4 | בינונית | חובה | שמור על טמפרטורת מזון נכונה. |
| משרד הבריאות | 4-3.5 | בינונית | חובה | בדוק את המקררים באופן קבוע. |
| משרד הבריאות | 4-3.7 | בינונית | חובה | ודא שאתה מטפל במזון כראוי. |
| משרד הבריאות | 4-3.8 | בינונית | חובה | שמור על מזון קר כראוי. |
| משרד הבריאות | 4-3.9 | בינונית | חובה | שמור על טמפרטורת מזון נכונה. |
| משרד הבריאות | 4-3.11 | בינונית | חובה | ודא שאתה עומד בדרישות ההיגיינה. |
| משרד הבריאות | 4-4.1 | בינונית | חובה | ודא שאתה עומד בדרישות הניקיון. |
| משרד הבריאות | 4-5.4 | בינונית | חובה | סמן את כלי הניקוי. |
| משרד הבריאות | 4-8.2 | בינונית | חובה | ודא שאתה עומד בדרישות אחסון מזון. |
| משרד הבריאות | 4-8.5 | בינונית | חובה | ודא שאתה עומד בדרישות אחסון. |
| הרשות הארצית לכבאות והצלה | 5-5.2 | גבוהה | חובה | ודא שאתה עומד בדרישות בטיחות אש. |
| הרשות הארצית לכבאות והצלה | 5-5.4 | בינונית | חובה | ודא שיש שילוט מתאים. |
| הרשות הארצית לכבאות והצלה | 5-5.7 | גבוהה | חובה | ודא שמערכת הגז תקינה. |
| הרשות הארצית לכבאות והצלה | 5-5.8 | גבוהה | חובה | שמור את המסמכים הנדרשים. |
| הרשות הארצית לכבאות והצלה | 5-5.9 | בינונית | חובה | עיין בפרסומי הרשות. |
| הרשות הארצית לכבאות והצלה | 5-6.2 | גבוהה | חובה | ודא שאתה עומד בדרישות בטיחות אש. |
| הרשות הארצית לכבאות והצלה | 5-6.3 | גבוהה | חובה | ודא שאתה מצרף את המסמכים הנדרשים. |
| הרשות הארצית לכבאות והצלה | 5-6.5 | בינונית | חובה | ודא שאתה עומד בדרישות תקנות התכנון והבנייה. |
| הרשות הארצית לכבאות והצלה | 5-6.7 | בינונית | חובה | ודא שחומרי הגימור עומדים בדרישות. |
| הרשות הארצית לכבאות והצלה | 5-6.8 | בינונית | חובה | ודא שיש ידית בהלה. |
| הרשות הארצית לכבאות והצלה | 5-6.9 | גבוהה | חובה | ודא שיש פתחי יציאה מספיקים. |
| הרשות הארצית לכבאות והצלה | 5-6.10 | גבוהה | חובה | ודא שיש שילוט מתאים. |
| הרשות הארצית לכבאות והצלה | 5-6.11 | גבוהה | חובה | ודא שיש תאורת חירום. |
| הרשות הארצית לכבאות והצלה | 5-6.12 | בינונית | חובה | ודא שיש ברז כיבוי חיצוני. |
| הרשות הארצית לכבאות והצלה | 5-6.13 | בינונית | חובה | ודא שיש גלגלון כיבוי אש. |
| הרשות הארצית לכבאות והצלה | 5-6.14 | בינונית | חובה | ודא שיש מערכת כיבוי אש אוטומטית. |
| הרשות הארצית לכבאות והצלה | 5-6.15 | בינונית | חובה | ודא שיש מערכת גילוי אש ועשן. |
| הרשות הארצית לכבאות והצלה | 5-6.16 | גבוהה | חובה | ודא שאתה עומד בדרישות לוחות החשמל. |
| הרשות הארצית לכבאות והצלה | 5-6.18 | בינונית | חובה | ודא שמערכת מיזוג האוויר תקינה. |
| הרשות הארצית לכבאות והצלה | 5-6.19 | בינונית | חובה | ודא שיש מערכת מסירת הודעות. |
| הרשות הארצית לכבאות והצלה | 5-6.22 | גבוהה | חובה | ודא שיש בדיקת משטר הפעלות. |


## צעדים הבאים

1.  סקור את דוח התאימות במלואו.
2.  פנה לייעוץ מקצועי מתאים (עורך דין, יועץ בטיחות, וכו') כדי לוודא עמידה מלאה בכל התקנות.
3.  הכן תוכנית פעולה למימוש ההמלצות והדרישות.
4.  עדכן את נהלי העבודה שלך בהתאם לדרישות הרגולטוריות.
5.  בצע בדיקות תקופתיות כדי לוודא המשך עמידה בתקנות.


## הבהרה

דוח זה אינו מהווה ייעוץ משפטי. מומלץ לפנות לייעוץ מקצועי לקבלת חוות דעת משפטית.
