# דוח תאימות רגולטורית: בשרים בחצר 

## מבוא

דוח זה מסכם את הדרישות הרגולטוריות החלות על העסק שלך, "בשרים בחצר", בהתבסס על פרופיל העסק שסופק: שטח של 1000 מ"ר, 350 מקומות ישיבה, שימוש בגז, משלוחים, מכירת בשר, שימוש במטגן, מכירת אלכוהול, ללא מכירת מוצרי חלב, ישיבה, עסק פתוח, גריל גז, ומקפיד על כשרות. 

## תקנות קריטיות

### דרישות משטרת ישראל (סעיפים 3-3.1, 3-3.2, 3-3.3, 3-3.6, 3-3.7, 3-3.8, 3-3.9)

* **סעיף 3-3.1:**  התקנה חלה עליך בשל השימוש בגז בעסק. עליך לוודא עמידה בדרישות הרישוי הקשורות לשימוש בגז, כפי שנקבע על ידי משטרת ישראל.
* **סעיף 3-3.2:**  התקנה חלה עליך בשל מספר מקומות הישיבה ומכירת אלכוהול.  עליך לעמוד בדרישות משטרת ישראל  לרישוי עסקים עם הגשת אלכוהול ומעל 200 מקומות ישיבה.
* **סעיף 3-3.3:** התקנה חלה עליך בשל היותך עסק המגיש אלכוהול.  עליך להתקין מערכת מצלמות אבטחה בהתאם לדרישות משטרת ישראל.  
* **סעיף 3-3.6:**  התקנה חלה עליך בשל גודל העסק ומכירת אלכוהול. עליך להציג שילוט ברור האוסר מכירת אלכוהול לקטינים. אי עמידה בדרישה עלולה להוביל לקנסות.
* **סעיף 3-3.7:** התקנה חלה עליך בשל היותך עסק המגיש אלכוהול. עליך לעמוד בדרישות משטרת ישראל  לגבי העברת כספים מעל 50,000 ₪.
* **סעיף 3-3.8:** התקנה חלה עליך בשל מספר מקומות הישיבה ומכירת אלכוהול. עליך לעמוד בדרישות משטרת ישראל  לרישוי עסקים עם הגשת אלכוהול ומעל 200 מקומות ישיבה.
* **סעיף 3-3.9:** התקנה חלה עליך בשל היותך עסק המגיש אלכוהול. עליך לדווח, להצהיר ולשמור מסמכים בהתאם לדרישות משטרת ישראל.


**חובה**


### דרישות משרד הבריאות (סעיפים 4-1.1, 4-1.7, 4-1.10, 4-1.11, 4-2.2, 4-2.4, 4-2.5, 4-2.6, 4-2.7, 4-3.1, 4-3.4, 4-3.5, 4-3.7, 4-3.8, 4-3.9, 4-3.11, 4-4.1, 4-4.2, 4-4.3, 4-4.10, 4-8.2, 4-8.3, 4-8.5)

* **סעיף 4-1.1:** התקנה מומלצת בשל גודל העסק, משלוחים, שימוש במטגן ובגריל גז. מומלץ להכין טופס ביקורת  לפי הסעיפים הרלוונטיים.
* **סעיף 4-1.7:** התקנה חלה עליך בשל מכירת בשר. עליך לוודא שכל חומרי הגלם מגיעים ממקורות מורשים ומאושרים.
* **סעיף 4-1.10:** התקנה חלה עליך בשל השימוש בגז.  עליך לבדוק את ניקיון ארגז הרכב ואת תקינות המזון עם הגעתו.
* **סעיף 4-1.11:** התקנה חלה עליך בשל מכירת בשר. עליך לוודא שההובלה מתבצעת ברכב מורשה ותקין.
* **סעיף 4-2.2:** התקנה חלה עליך בשל גודל העסק. עליך לשמור על טמפרטורת מזון נכונה על מנת למנוע ריבוי חיידקים.
* **סעיף 4-2.4:** התקנה חלה עליך בשל מכירת מזון. עליך לסמן את הכלים המיועדים לעבודה במטבח.
* **סעיף 4-2.5:** התקנה חלה עליך בשל מכירת מזון. עליך לשמור על כללי שמירת המזון.
* **סעיף 4-2.6:** התקנה חלה עליך בשל מכירת מזון.  עליך לשמור על היגיינה אישית.
* **סעיף 4-2.7:** התקנה חלה עליך בשל היותך עסק פתוח ומכירת בשר. עליך לעמוד בדרישות  לגבי מבנה המטבח, אחסון מזון והיגיינה.
* **סעיף 4-3.1:** התקנה חלה עליך בשל גודל העסק. עליך לוודא אחסון מזון בטמפרטורה נכונה.
* **סעיף 4-3.4:** התקנה חלה עליך בשל גודל העסק. עליך לשמור על טמפרטורת מזון נכונה.
* **סעיף 4-3.5:** התקנה חלה עליך בשל גודל העסק. עליך לפעול בהתאם להוראות במקרה של תקלה במתקן הקירור.
* **סעיף 4-3.7:** התקנה חלה עליך בשל מכירת מזון. עליך לעמוד בדרישות לגבי הכנת מזון.
* **סעיף 4-3.8:** התקנה חלה עליך בשל גודל העסק.  עליך לאחסן מזון קר בטמפרטורה נכונה.
* **סעיף 4-3.9:** התקנה חלה עליך בשל גודל העסק.  עליך לאחסן מזון חם וקר בטמפרטורה נכונה.
* **סעיף 4-3.11:** התקנה חלה עליך בשל מכירת מזון.  עליך לעמוד בדרישות לגבי היגיינה אישית של העובדים.
* **סעיף 4-4.1:** התקנה חלה עליך בשל מכירת מזון.  עליך לבצע עבודות ניקיון בהתאם לכללים.
* **סעיף 4-4.2:** התקנה חלה עליך בשל מכירת מזון.  עליך לעמוד בדרישות לגבי מבנה המטבח.
* **סעיף 4-4.3:** התקנה חלה עליך בשל מכירת מזון.  עליך להגיש מסמכים נדרשים עם בקשת רישיון.
* **סעיף 4-4.10:** התקנה חלה עליך בשל היותך עסק פתוח ומכירת בשר.  עליך לעמוד בדרישות לגבי סילוק פסולת.
* **סעיף 4-8.2:** התקנה חלה עליך בשל גודל העסק.  עליך לשמור על טמפרטורת מזון נכונה.
* **סעיף 4-8.3:** התקנה חלה עליך בשל היותך עסק פתוח.  עליך לשמור על ניקיון החצר.
* **סעיף 4-8.5:** התקנה חלה עליך בשל מכירת מזון.  עליך לאחסן חומרי גלם כראוי.

**חובה**


## תקנות מומלצות

### הגדרות כלליות ותנאים רוחביים (סעיפים 1-1.4, 2-2.12)

* **סעיף 1-1.4:** התקנה חלה עליך בשל היותך עסק שאינו מגיש מוצרי חלב.  התקנה מתייחסת למסמכים ותנאים הנדרשים מבעל עסק.
* **סעיף 2-2.12:** התקנה חלה עליך בשל היותך עסק שאינו מגיש מוצרי חלב.  התקנה מתייחסת למועד תחילתן של הוראות המפרט.

**מומלץ**


## סיכום התקנות

| גוף רגולטורי | סעיף תקנה | עדיפות | חובה/מומלץ | המלצה |
|---|---|---|---|---|
| הגדרות כלליות | 1-1.4 | נמוכה | מומלץ | עיין במסמכים הנדרשים |
| תנאים רוחביים | 2-2.12 | נמוכה | מומלץ | עיין במועדי תחילת ההוראות |
| משטרת ישראל | 3-3.1 | גבוהה | חובה | עמידה בדרישות רישוי גז |
| משטרת ישראל | 3-3.2 | גבוהה | חובה | עמידה בדרישות רישוי עסקים |
| משטרת ישראל | 3-3.3 | גבוהה | חובה | התקנת מערכת מצלמות אבטחה |
| משטרת ישראל | 3-3.6 | גבוהה | חובה | הצגת שילוט איסור מכירת אלכוהול לקטינים |
| משטרת ישראל | 3-3.7 | גבוהה | חובה | עמידה בדרישות העברת כספים |
| משטרת ישראל | 3-3.8 | גבוהה | חובה | עמידה בדרישות רישוי עסקים |
| משטרת ישראל | 3-3.9 | גבוהה | חובה | דיווח, הצהרות ואחזקת מסמכים |
| משרד הבריאות | 4-1.1 | בינונית | מומלץ | הכנת טופס ביקורת |
| משרד הבריאות | 4-1.7 | גבוהה | חובה | קבלת מזון ממקורות מורשים |
| משרד הבריאות | 4-1.10 | בינונית | חובה | בדיקת ניקיון ארגז הרכב |
| משרד הבריאות | 4-1.11 | גבוהה | חובה | הובלת מזון ברכב מורשה |
| משרד הבריאות | 4-2.2 | גבוהה | חובה | שמירת טמפרטורת מזון נכונה |
| משרד הבריאות | 4-2.4 | בינונית | חובה | סימון כלים |
| משרד הבריאות | 4-2.5 | בינונית | חובה | שמירת מזון |
| משרד הבריאות | 4-2.6 | בינונית | חובה | היגיינה אישית |
| משרד הבריאות | 4-2.7 | גבוהה | חובה | עמידה בדרישות מבנה המטבח |
| משרד הבריאות | 4-3.1 | גבוהה | חובה | אחסון מזון בטמפרטורה נכונה |
| משרד הבריאות | 4-3.4 | גבוהה | חובה | שמירת טמפרטורת מזון נכונה |
| משרד הבריאות | 4-3.5 | גבוהה | חובה | פעולה במקרה של תקלה בקירור |
| משרד הבריאות | 4-3.7 | גבוהה | חובה | עמידה בדרישות הכנת מזון |
| משרד הבריאות | 4-3.8 | גבוהה | חובה | אחסון מזון קר בטמפרטורה נכונה |
| משרד הבריאות | 4-3.9 | גבוהה | חובה | אחסון מזון חם וקר בטמפרטורה נכונה |
| משרד הבריאות | 4-3.11 | בינונית | חובה | היגיינה אישית של עובדים |
| משרד הבריאות | 4-4.1 | בינונית | חובה | עבודות ניקיון |
| משרד הבריאות | 4-4.2 | גבוהה | חובה | מבנה המטבח |
| משרד הבריאות | 4-4.3 | גבוהה | חובה | מסמכים לבקשת רישיון |
| משרד הבריאות | 4-4.10 | גבוהה | חובה | סילוק פסולת |
| משרד הבריאות | 4-8.2 | גבוהה | חובה | שמירת טמפרטורת מזון נכונה |
| משרד הבריאות | 4-8.3 | בינונית | חובה | ניקיון החצר |
| משרד הבריאות | 4-8.5 | בינונית | חובה | אחסון חומרי גלם |
| הרשות הארצית לכבאות והצלה | 5-5.2 | גבוהה | חובה | אמצעי בטיחות אש |
| הרשות הארצית לכבאות והצלה | 5-5.4 | בינונית | חובה | שלטי יציאה |
| הרשות הארצית לכבאות והצלה | 5-5.7 | גבוהה | חובה | מערכת גפ"מ |
| הרשות הארצית לכבאות והצלה | 5-5.8 | גבוהה | חובה | שמירת מסמכים |
| הרשות הארצית לכבאות והצלה | 5-5.9 | נמוכה | מומלץ | עיין בפרסומי הרשות |
| הרשות הארצית לכבאות והצלה | 5-6.2 | גבוהה | חובה | אמצעי בטיחות אש |
| הרשות הארצית לכבאות והצלה | 5-6.3 | גבוהה | חובה | מסמכים לבקשת רישיון |
| הרשות הארצית לכבאות והצלה | 5-6.5 | נמוכה | מומלץ | עיין בתקנות התכנון והבנייה |
| הרשות הארצית לכבאות והצלה | 5-6.7 | גבוהה | חובה | חומרי ציפוי |
| הרשות הארצית לכבאות והצלה | 5-6.8 | בינונית | חובה | ידית בהלה |
| הרשות הארצית לכבאות והצלה | 5-6.9 | גבוהה | חובה | פתחי יציאה |
| הרשות הארצית לכבאות והצלה | 5-6.10 | גבוהה | חובה | שלטי תאורה |
| הרשות הארצית לכבאות והצלה | 5-6.11 | גבוהה | חובה | תאורת חירום |
| הרשות הארצית לכבאות והצלה | 5-6.12 | גבוהה | חובה | ברזי כיבוי |
| הרשות הארצית לכבאות והצלה | 5-6.13 | גבוהה | חובה | עמדות כיבוי אש |
| הרשות הארצית לכבאות והצלה | 5-6.14 | בינונית | חובה | מערכת כיבוי אוטומטית |
| הרשות הארצית לכבאות והצלה | 5-6.15 | בינונית | חובה | מערכת גילוי אש |
| הרשות הארצית לכבאות והצלה | 5-6.16 | גבוהה | חובה | מערכות בטיחות בלוחות חשמל |
| הרשות הארצית לכבאות והצלה | 5-6.17 | בינונית | חובה | סידורי שליטה בעשן |
| הרשות הארצית לכבאות והצלה | 5-6.19 | בינונית | חובה | מערכת מסירת הודעות |
| הרשות הארצית לכבאות והצלה | 5-6.22 | בינונית | חובה | בדיקת אינטגרציה |
| הרשות הארצית לכבאות והצלה | 5-6.23 | גבוהה | חובה | מערכת גז |
| הרשות הארצית לכבאות והצלה | 5-6.24 | גבוהה | חובה | מסמכים על תקינות ציוד |


## צעדים הבאים

1.  סקור את דוח התאימות ביסודיות.
2.  בדוק את כל הדרישות החלות עליך, וודא שאתה עומד בכל תקנות החובה.
3.  פנה לייעוץ מקצועי לקבלת סיוע נוסף בעמידה בדרישות.
4.  עדכן את נהלי העבודה שלך בהתאם לדרישות הרגולטוריות.
5.  שמור עותקים מכל האישורים והמסמכים הנדרשים.


## כתב ויתור

דוח זה נועד לספק מידע כללי בלבד, והוא אינו מהווה ייעוץ משפטי.  מומלץ לפנות לעורך דין או ליועץ רגולטורי לקבלת ייעוץ משפטי  ספציפי.
