# דוח תאימות רגולטורית: בשרים בחצר 

## מבוא

דוח זה מסכם את הדרישות הרגולטוריות החלות על העסק "בשרים בחצר" בהתבסס על פרופיל העסק שסופק.  פרופיל העסק מצביע על מסעדה גדולה (1000 מ"ר, 350 מקומות ישיבה) המגישה בשר, משתמשת בגז ובמטגנים, מגישה אלכוהול, ופועלת תחת כיפת השמיים.  העסק מצהיר על שמירת כשרות.  דוח זה נועד לסייע לך להבין את הדרישות החוקיות וההמלצות הרלוונטיות, ולפעול בהתאם כדי להבטיח תאימות מלאה.


## תקנות קריטיות

### רישוי עסקים (משטרת ישראל) - סעיף 3-3.1

תקנה זו חלה מכיוון שהעסק משתמש בגז.  עליך לוודא קבלת כל האישורים הנדרשים ממשטרת ישראל  לשימוש בגז.

**חובה**

**סיכון אי-עמידה:** קנסות, עיכובים ברישוי העסק.


### רישוי עסקים (משטרת ישראל) - סעיף 3-3.2

תקנה זו חלה מכיוון שהעסק כולל יותר מ-200 מקומות ישיבה ומגיש משקאות משכרים.  עליך לעמוד בכל הדרישות של משטרת ישראל  לרישוי עסקים, כולל התקנת מערכות אבטחה מתאימות.

**חובה**

**סיכון אי-עמידה:** קנסות, סגירת העסק.


### תברואת מזון (משרד הבריאות) - סעיף 4-1.7 (סעיפים שונים)

תקנות אלה חלות מכיוון שהעסק מגיש בשר.  עליך לוודא שכל חומרי הגלם מגיעים מספקים מורשים, עם כל האישורים הנדרשים, ושנשמרות טמפרטורות האחסון הנכונות.

**חובה**

**סיכון אי-עמידה:** קנסות, סגירת העסק, סיכוני בריאות ציבור.


### תברואת מזון (משרד הבריאות) - סעיף 4-2.2 (סעיפים שונים)

תקנות אלה חלות מכיוון שהעסק הוא גדול ומגיש בשר.  עליך לעמוד בכל הדרישות לשמירת טמפרטורה נכונה של מזון, הן במצב חם, מצונן, וקפוא,  כדי למנוע התרבות חיידקים.

**חובה**

**סיכון אי-עמידה:** קנסות, סגירת העסק, סיכוני בריאות ציבור.


### תברואת מזון (משרד הבריאות) - סעיף 4-3.7 (סעיפים שונים)

תקנות אלה חלות מכיוון שהעסק גדול, משתמש במטגנים ומגיש בשר.  עליך לעמוד בכל הדרישות להכנה נכונה של מזון, כולל טיפול נכון בהפשרה ובישול, כדי למנוע סיכוני בריאות.

**חובה**

**סיכון אי-עמידה:** קנסות, סגירת העסק, סיכוני בריאות ציבור.


### בטיחות אש (הרשות הארצית לכבאות והצלה) - סעיף 5-6.2 (סעיפים שונים)

תקנות אלה חלות מכיוון שהעסק גדול ומגיש משקאות משכרים.  עליך להבטיח עמידה בכל דרישות הבטיחות באש, כולל התקנת גלאי עשן, מטפים, ומערכות כיבוי אש מתאימות לגודל העסק.

**חובה**

**סיכון אי-עמידה:** קנסות, סגירת העסק, סיכוני חיים ורכוש.


## תקנות מומלצות

* **הגדרות כלליות (סעיף 1-1.4):**  מומלץ להכיר את ההגדרות הכלליות הרלוונטיות לרישוי עסקים.
* **תנאים רוחביים (סעיף 2-2.12):** מומלץ לעיין בתנאים הרוחביים הרלוונטיים לרישוי עסקים.
* **תברואת מזון (משרד הבריאות) - סעיפים נוספים:** מומלץ לעיין בכל התקנות הנוספות של משרד הבריאות  לגבי תברואת מזון, כולל נושאים כמו הדברה, ניקיון, ותחזוקה.
* **בטיחות אש (הרשות הארצית לכבאות והצלה) - סעיפים נוספים:** מומלץ לעיין בכל התקנות הנוספות של הרשות הארצית לכבאות והצלה  לגבי בטיחות אש.

**מומלץ**


## סיכום התקנות

| גוף רגולטורי | סעיף תקנה | עדיפות | חובה/מומלץ | המלצה |
|---|---|---|---|---|
| הגדרות כלליות | 1-1.4 | נמוכה | מומלץ | הכרת ההגדרות |
| תנאים רוחביים | 2-2.12 | נמוכה | מומלץ | עיון בתנאים |
| משטרת ישראל | 3-3.1 | גבוהה | חובה | קבלת אישורים לגז |
| משטרת ישראל | 3-3.2 | גבוהה | חובה | עמידה בדרישות אבטחה |
| משטרת ישראל | 3-3.3 | בינונית | חובה | התקנת מצלמות |
| משטרת ישראל | 3-3.6 | בינונית | חובה | שילוט לגיל 18 |
| משטרת ישראל | 3-3.7 | בינונית | חובה | נהלים להעברת כספים |
| משטרת ישראל | 3-3.8 | נמוכה | חובה | פטור עבור עסקים קטנים |
| משרד הבריאות | 4-4.2 | בינונית | חובה | תכנון סניטרי |
| משרד הבריאות | 4-4.3 | בינונית | חובה | מסמכים לרישיון |
| משרד הבריאות | 4-4.10 | גבוהה | חובה | טיפול בפסולת |
| משרד הבריאות | 4-1.7 | גבוהה | חובה | מקור חומרי גלם |
| משרד הבריאות | 4-1.10 | בינונית | חובה | בדיקת ניקיון רכב |
| משרד הבריאות | 4-1.11 | גבוהה | חובה | רישיון לרכב הובלה |
| משרד הבריאות | 4-1.1 | נמוכה | מומלץ | טופס ביקורת |
| משרד הבריאות | 4-2.2 | גבוהה | חובה | שמירת טמפרטורה |
| משרד הבריאות | 4-2.4 | בינונית | חובה | סימון כלים |
| משרד הבריאות | 4-2.5 | בינונית | חובה | שמירת מזון |
| משרד הבריאות | 4-2.6 | בינונית | חובה | היגיינה אישית |
| משרד הבריאות | 4-2.7 | גבוהה | חובה | ארגון המטבח |
| משרד הבריאות | 4-3.1 | גבוהה | חובה | אחסון מזון |
| משרד הבריאות | 4-3.4 | גבוהה | חובה | שמירת טמפרטורה |
| משרד הבריאות | 4-3.5 | גבוהה | חובה | טיפול בתקלות קירור |
| משרד הבריאות | 4-3.7 | גבוהה | חובה | הכנה ועיבוד מזון |
| משרד הבריאות | 4-3.8 | גבוהה | חובה | מזון קר |
| משרד הבריאות | 4-3.9 | גבוהה | חובה | מזון חם |
| משרד הבריאות | 4-3.11 | בינונית | חובה | היגיינה עובדים |
| משרד הבריאות | 4-4.1 | בינונית | חובה | ניקיון |
| משרד הבריאות | 4-5.4 | בינונית | חובה | סימון חומרי ניקוי |
| משרד הבריאות | 4-8.2 | גבוהה | חובה | אחסון מזון |
| משרד הבריאות | 4-8.3 | בינונית | חובה | ניקיון חצר |
| משרד הבריאות | 4-8.5 | גבוהה | חובה | אחסון חומרי גלם |
| הרשות הארצית לכבאות והצלה | 5-5.2 | גבוהה | חובה | אמצעי בטיחות אש |
| הרשות הארצית לכבאות והצלה | 5-5.4 | בינונית | חובה | שילוט יציאה |
| הרשות הארצית לכבאות והצלה | 5-5.7 | גבוהה | חובה | מערכת גז |
| הרשות הארצית לכבאות והצלה | 5-5.8 | גבוהה | חובה | שמירת מסמכים |
| הרשות הארצית לכבאות והצלה | 5-5.9 | נמוכה | מומלץ | פרסומי הרשות |
| הרשות הארצית לכבאות והצלה | 5-6.2 | גבוהה | חובה | אמצעי בטיחות אש |
| הרשות הארצית לכבאות והצלה | 5-6.3 | בינונית | חובה | מסמכים לרישיון |
| הרשות הארצית לכבאות והצלה | 5-6.5 | נמוכה | מומלץ | תאימות לתקנות בנייה |
| הרשות הארצית לכבאות והצלה | 5-6.7 | בינונית | חובה | חומרי גימור |
| הרשות הארצית לכבאות והצלה | 5-6.8 | בינונית | חובה | ידית בהלה |
| הרשות הארצית לכבאות והצלה | 5-6.9 | גבוהה | חובה | פתחי יציאה |
